"Image Name","PID","Session Name","Session#","Mem Usage","Status","User Name","CPU Time","Window Title"
"SynTPEnhService.exe","3240","Services","0","3,048 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","3452","Services","0","12,792 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:05","N/A"
"svchost.exe","3508","Services","0","1,344 K","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/A"
"svchost.exe","3500","Services","0","7,692 K","Unknown","NT AUTHORITY\SYSTEM","0:06:02","N/A"
"svchost.exe","3580","Services","0","3,184 K","Unknown","NT AUTHORITY\SYSTEM","0:00:15","N/A"
"svchost.exe","3608","Services","0","3,576 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/A"
"TouchpointAnalyticsClientService.exe","3660","Services","0","19,800 K","Unknown","NT AUTHORITY\SYSTEM","0:00:07","N/A"
"Memory Compression","3668","Services","0","510,344 K","Unknown","NT AUTHORITY\SYSTEM","0:17:40","N/A"
"svchost.exe","3908","Services","0","10,032 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:10","N/A"
"svchost.exe","4036","Services","0","26,724 K","Unknown","NT AUTHORITY\SYSTEM","0:03:13","N/A"
"svchost.exe","4088","Services","0","16,660 K","Unknown","NT AUTHORITY\SYSTEM","0:00:49","N/A"
"svchost.exe","3544","Services","0","9,372 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:08:14","N/A"
"unsecapp.exe","4296","Services","0","3,264 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"WmiPrvSE.exe","4428","Services","0","7,316 K","Unknown","NT AUTHORITY\SYSTEM","0:00:03","N/A"
"svchost.exe","4612","Services","0","4,684 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:04","N/A"
"svchost.exe","4632","Services","0","12,648 K","Unknown","NT AUTHORITY\SYSTEM","0:00:22","N/A"
"svchost.exe","4664","Services","0","5,724 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"spoolsv.exe","4720","Services","0","3,920 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","4816","Services","0","10,556 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:17","N/A"
"svchost.exe","4940","Services","0","2,480 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:01","N/A"
"svchost.exe","5012","Services","0","1,096 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","5020","Services","0","5,660 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","5028","Services","0","27,548 K","Unknown","NT AUTHORITY\SYSTEM","0:00:28","N/A"
"FoxitPDFReaderUpdateService.exe","5036","Services","0","1,928 K","Unknown","NT AUTHORITY\SYSTEM","0:01:24","N/A"
"svchost.exe","5044","Services","0","39,368 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:07:40","N/A"
"esif_uf.exe","5072","Services","0","1,644 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","5004","Services","0","2,760 K","Unknown","NT AUTHORITY\SYSTEM","0:00:09","N/A"
"svchost.exe","5144","Services","0","3,760 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:04","N/A"
"OneApp.IGCC.WinService.exe","5172","Services","0","10,192 K","Unknown","NT AUTHORITY\SYSTEM","0:00:04","N/A"
"svchost.exe","5200","Services","0","5,344 K","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/A"
"jhi_service.exe","5212","Services","0","948 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"IntelAudioService.exe","5220","Services","0","4,412 K","Unknown","NT AUTHORITY\SYSTEM","0:00:14","N/A"
"HPPrintScanDoctorService.exe","5236","Services","0","7,392 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"svchost.exe","5300","Services","0","1,160 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"RstMwService.exe","5308","Services","0","2,096 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","5316","Services","0","4,332 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"RtkBtManServ.exe","5424","Services","0","1,796 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"SECOMN64.exe","5464","Services","0","3,320 K","Unknown","NT AUTHORITY\SYSTEM","0:00:21","N/A"
"RtkAudUService64.exe","5488","Services","0","5,476 K","Unknown","NT AUTHORITY\SYSTEM","0:01:04","N/A"
"svchost.exe","5552","Services","0","1,348 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"vmware-authd.exe","5584","Services","0","3,204 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"vmware-usbarbitrator64.exe","5684","Services","0","4,536 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"WildTangentHelperService.exe","5824","Services","0","12,204 K","Unknown","NT AUTHORITY\SYSTEM","0:01:07","N/A"
"svchost.exe","6020","Services","0","13,008 K","Unknown","NT AUTHORITY\SYSTEM","0:00:06","N/A"
"dasHost.exe","6092","Services","0","13,888 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:03","N/A"
"sihost.exe","6348","Console","1","24,544 K","Running","LAPTOP-TTRRML1O\HP","0:00:45","N/A"
"svchost.exe","6392","Console","1","17,700 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:09","N/A"
"svchost.exe","6408","Console","1","2,296 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"svchost.exe","6460","Services","0","5,192 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"svchost.exe","6984","Console","1","1,784 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"igfxEMN.exe","7076","Console","1","3,428 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","The Event Manager Dashboard"
"svchost.exe","7296","Console","1","16,868 K","Running","LAPTOP-TTRRML1O\HP","0:00:27","Windows Push Notifications Platform"
"svchost.exe","7376","Services","0","16,920 K","Unknown","NT AUTHORITY\SYSTEM","0:02:11","N/A"
"taskhostw.exe","7572","Console","1","13,912 K","Running","LAPTOP-TTRRML1O\HP","0:00:17","Task Host Window"
"svchost.exe","8044","Services","0","3,596 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:13","N/A"
"svchost.exe","6776","Services","0","11,804 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:07","N/A"
"explorer.exe","8716","Console","1","383,784 K","Running","LAPTOP-TTRRML1O\HP","0:13:56","N/A"
"AggregatorHost.exe","8932","Services","0","3,400 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","8500","Services","0","4,460 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","7056","Services","0","8,100 K","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/A"
"svchost.exe","7696","Console","1","23,696 K","Running","LAPTOP-TTRRML1O\HP","0:00:09","N/A"
"RtkAudUService64.exe","9696","Console","1","4,472 K","Running","NT AUTHORITY\SYSTEM","0:00:26","RealtekAudioAdminBackgroundProcessClass"
"SearchHost.exe","10172","Console","1","49,808 K","Running","LAPTOP-TTRRML1O\HP","0:00:26","Search"
"StartMenuExperienceHost.exe","10200","Console","1","62,956 K","Running","LAPTOP-TTRRML1O\HP","0:00:23","Start"
"Widgets.exe","9484","Console","1","25,564 K","Running","LAPTOP-TTRRML1O\HP","0:00:14","OLEChannelWnd"
"SynTPEnh.exe","4804","Console","1","8,924 K","Running","LAPTOP-TTRRML1O\HP","0:01:35","Forcepad driver tray window"
"RuntimeBroker.exe","4784","Console","1","35,008 K","Running","LAPTOP-TTRRML1O\HP","0:00:19","N/A"
"RuntimeBroker.exe","9796","Console","1","13,900 K","Running","LAPTOP-TTRRML1O\HP","0:00:02","OLEChannelWnd"
"WidgetService.exe","9344","Console","1","3,252 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"svchost.exe","9364","Console","1","10,764 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"svchost.exe","10408","Services","0","12,996 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:02","N/A"
"ctfmon.exe","11116","Console","1","23,544 K","Running","LAPTOP-TTRRML1O\HP","0:01:18","N/A"
"svchost.exe","496","Services","0","10,980 K","Unknown","NT AUTHORITY\SYSTEM","0:00:12","N/A"
"ChsIME.exe","11572","Console","1","1,824 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"svchost.exe","11880","Services","0","7,888 K","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/A"
"LocationNotificationWindows.exe","12180","Console","1","2,120 K","Running","LAPTOP-TTRRML1O\HP","0:00:01","Location Notification"
"svchost.exe","13016","Services","0","8,204 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:23","N/A"
"TextInputHost.exe","13100","Console","1","64,520 K","Running","LAPTOP-TTRRML1O\HP","0:01:29","Windows Input Experience"
"svchost.exe","10148","Services","0","9,900 K","Unknown","NT AUTHORITY\SYSTEM","0:00:40","N/A"
"OneDrive.exe","12712","Console","1","61,612 K","Running","LAPTOP-TTRRML1O\HP","0:01:16","N/A"
"UniKeyNT.exe","14200","Console","1","3,304 K","Running","LAPTOP-TTRRML1O\HP","0:01:10","UniKey 4.1"
"dasHost.exe","14492","Services","0","4,860 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:00","N/A"
"RtkAudUService64.exe","16572","Console","1","3,156 K","Running","LAPTOP-TTRRML1O\HP","0:00:43","RealtekAudioBackgroundProcessClass"
"BingSvc.exe","16540","Console","1","20,996 K","Not Responding","LAPTOP-TTRRML1O\HP","0:00:17","OleMainThreadWndName"
"DesktopExtension.exe","17768","Console","1","4,724 K","Running","LAPTOP-TTRRML1O\HP","0:00:05",".NET-BroadcastEventWindow.4.0.0.0.3ce0bb8.0"
"HP.myHP.exe","18108","Console","1","5,356 K","Running","LAPTOP-TTRRML1O\HP","0:00:01","N/A"
"RuntimeBroker.exe","18176","Console","1","4,568 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"HPSystemEventUtilityBackground.exe","18336","Console","1","13,172 K","Running","LAPTOP-TTRRML1O\HP","0:00:15",".NET-BroadcastEventWindow.4.0.0.0.21af1a5.0"
"unsecapp.exe","17816","Console","1","5,024 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","OleMainThreadWndName"
"ApplicationFrameHost.exe","14540","Console","1","32,888 K","Running","LAPTOP-TTRRML1O\HP","0:00:02","Calculator"
"svchost.exe","16480","Console","1","9,256 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:14","N/A"
"svchost.exe","17192","Console","1","3,876 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"svchost.exe","16628","Services","0","4,000 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"vmware-tray.exe","18436","Console","1","3,176 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","vmware-tray Main UI Window"
"ShellExperienceHost.exe","17820","Console","1","44,248 K","Running","LAPTOP-TTRRML1O\HP","0:00:10","Quick settings"
"RuntimeBroker.exe","16472","Console","1","18,376 K","Running","LAPTOP-TTRRML1O\HP","0:00:05","N/A"
"HPAudioSwitch.exe","16068","Console","1","8,728 K","Running","LAPTOP-TTRRML1O\HP","0:00:29",".NET-BroadcastEventWindow.4.0.0.0.2e9e79f.0"
"sshd.exe","6152","Services","0","1,072 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","10724","Console","1","6,676 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:01","N/A"
"HPCommRecovery.exe","12160","Services","0","8,048 K","Unknown","NT AUTHORITY\SYSTEM","0:00:03","N/A"
"svchost.exe","18980","Services","0","5,808 K","Unknown","NT AUTHORITY\SYSTEM","0:00:07","N/A"
"svchost.exe","3288","Services","0","4,044 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/A"
"SecurityHealthService.exe","9088","Services","0","4,060 K","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/A"
"FileCoAuth.exe","7952","Console","1","8,212 K","Running","LAPTOP-TTRRML1O\HP","0:00:02","OleMainThreadWndName"
"SystemSettingsBroker.exe","6320","Console","1","13,456 K","Running","LAPTOP-TTRRML1O\HP","0:00:18","N/A"
"svchost.exe","6660","Services","0","2,932 K","Unknown","NT AUTHORITY\SYSTEM","0:00:03","N/A"
"svchost.exe","3328","Services","0","1,852 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"Video.UI.exe","11280","Console","1","656 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"RuntimeBroker.exe","19704","Console","1","4,516 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"dllhost.exe","20116","Console","1","5,528 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","OleMainThreadWndName"
"dllhost.exe","26456","Console","1","4,008 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","OleMainThreadWndName"
"svchost.exe","25432","Services","0","7,396 K","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/A"
"UserOOBEBroker.exe","27032","Console","1","2,096 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"svchost.exe","28236","Services","0","1,784 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","19752","Services","0","3,400 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"sqlwriter.exe","31612","Services","0","1,820 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"sqlceip.exe","31552","Services","0","20,412 K","Unknown","NT SERVICE\SQLTELEMETRY$SQLEXPRESS","0:00:05","N/A"
"sqlservr.exe","31200","Services","0","81,784 K","Unknown","NT SERVICE\MSSQL$SQLEXPRESS","2:31:39","N/A"
"svchost.exe","9368","Services","0","2,536 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","14132","Services","0","2,632 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:06","N/A"
"Microsoft.SharePoint.exe","43520","Console","1","16,000 K","Not Responding","LAPTOP-TTRRML1O\HP","0:00:12","N/A"
"svchost.exe","65704","Services","0","2,436 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","60952","Services","0","1,936 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","67032","Services","0","4,892 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:05","N/A"
"svchost.exe","53332","Services","0","12,648 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:21","N/A"
"Cloudflare WARP.exe","70116","Console","1","46,240 K","Running","LAPTOP-TTRRML1O\HP","0:00:19","Hidden Window"
"OfficeClickToRun.exe","68748","Services","0","20,024 K","Unknown","NT AUTHORITY\SYSTEM","0:00:34","N/A"
"AppVShNotify.exe","63800","Console","1","996 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"SearchIndexer.exe","14240","Services","0","56,016 K","Unknown","NT AUTHORITY\SYSTEM","0:15:58","N/A"
"msedgewebview2.exe","65964","Console","1","30,152 K","Running","LAPTOP-TTRRML1O\HP","0:00:04","N/A"
"msedgewebview2.exe","65832","Console","1","1,300 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"msedgewebview2.exe","7412","Console","1","14,420 K","Running","LAPTOP-TTRRML1O\HP","0:00:04","N/A"
"msedgewebview2.exe","66564","Console","1","9,064 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","OLEChannelWnd"
"msedgewebview2.exe","24428","Console","1","3,736 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"msedgewebview2.exe","67376","Console","1","32,600 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:12","N/A"
"Teams.exe","65176","Console","1","85,268 K","Running","LAPTOP-TTRRML1O\HP","0:00:49","General (Lớp An ninh mạng (149202)) | Microsoft Teams classic"
"Teams.exe","69428","Console","1","75,556 K","Running","LAPTOP-TTRRML1O\HP","0:00:07","N/A"
"Teams.exe","5080","Console","1","19,364 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:12","N/A"
"Teams.exe","58332","Console","1","15,580 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"Teams.exe","71104","Console","1","3,508 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"Teams.exe","59072","Console","1","237,248 K","Unknown","LAPTOP-TTRRML1O\HP","0:10:24","N/A"
"Teams.exe","71852","Console","1","41,432 K","Running","LAPTOP-TTRRML1O\HP","0:00:27","wndProcClass"
"Teams.exe","72140","Console","1","31,828 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:08","N/A"
"Viber.exe","2152","Console","1","99,860 K","Running","LAPTOP-TTRRML1O\HP","0:01:10","Rakuten Viber"
"BOAudioControl.exe","17540","Console","1","780 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","B＆O Audio Control"
"RuntimeBroker.exe","45612","Console","1","2,004 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"SECOCL64.exe","13752","Console","1","2,800 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"conhost.exe","68468","Console","1","888 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"dllhost.exe","70740","Console","1","2,020 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","OleMainThreadWndName"
"vmnat.exe","71628","Services","0","3,476 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"vmnetdhcp.exe","63240","Services","0","2,208 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"WMIRegistrationService.exe","75516","Services","0","1,480 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"SysInfoCap.exe","69664","Services","0","18,508 K","Unknown","NT AUTHORITY\SYSTEM","0:00:06","N/A"
"AppHelperCap.exe","76656","Services","0","9,192 K","Unknown","NT AUTHORITY\SYSTEM","0:00:06","N/A"
"NetworkCap.exe","67424","Services","0","3,816 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"DiagsCap.exe","74864","Services","0","3,512 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"svchost.exe","72812","Services","0","968 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"tcpview.exe","77496","Console","1","13,600 K","Running","LAPTOP-TTRRML1O\HP","0:03:14","TCPView - Sysinternals: www.sysinternals.com"
"vmware.exe","56724","Console","1","60,604 K","Running","LAPTOP-TTRRML1O\HP","0:00:47","Ubuntu Desktop -64 bit 20.04.5 - VMware Workstation"
"vmware-unity-helper.exe","75064","Console","1","5,752 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"RuntimeBroker.exe","4280","Console","1","5,776 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"HxTsr.exe","19764","Console","1","19,848 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:01","N/A"
"HxAccounts.exe","75632","Console","1","10,324 K","Running","LAPTOP-TTRRML1O\HP","0:00:01","N/A"
"HxOutlook.exe","34048","Console","1","1,228 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","Mail"
"vmware-vmx.exe","68148","Console","1","175,376 K","Running","LAPTOP-TTRRML1O\HP","0:03:13","MKSInvisibleWindow"
"mksSandbox.exe","75848","Console","1","88,772 K","Running","LAPTOP-TTRRML1O\HP","0:00:07","MKSInvisibleWindow"
"conhost.exe","74920","Console","1","1,088 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"MpDefenderCoreService.exe","78180","Services","0","10,784 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"MsMpEng.exe","74552","Services","0","213,964 K","Unknown","NT AUTHORITY\SYSTEM","0:04:40","N/A"
"NisSrv.exe","36968","Services","0","5,184 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"PhoneExperienceHost.exe","67528","Console","1","64,968 K","Running","LAPTOP-TTRRML1O\HP","0:00:04",".NET-BroadcastEventWindow.25468f2.0"
"svchost.exe","59624","Services","0","2,316 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"backgroundTaskHost.exe","3028","Console","1","516 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"vmware-vmx.exe","64872","Console","1","1,039,924 K","Running","LAPTOP-TTRRML1O\HP","0:17:50","MKSInvisibleWindow"
"mksSandbox.exe","40016","Console","1","171,784 K","Running","LAPTOP-TTRRML1O\HP","0:00:17","MKSInvisibleWindow"
"conhost.exe","75360","Console","1","1,084 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"RuntimeBroker.exe","67472","Console","1","6,744 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"WindowsTerminal.exe","7032","Console","1","113,448 K","Running","LAPTOP-TTRRML1O\HP","0:00:05","Administrator: Windows PowerShell"
"svchost.exe","62212","Services","0","3,484 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"OpenConsole.exe","47124","Console","1","2,544 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"powershell.exe","76692","Console","1","13,664 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","OleMainThreadWndName"
"taskhostw.exe","63260","Console","1","5,932 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","Task Host Window"
"HelpPane.exe","61044","Console","1","14,000 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","Windows Help and Support"
"msedge.exe","77604","Console","1","276,284 K","Running","LAPTOP-TTRRML1O\HP","0:02:30","ChatGPT and 7 more pages - Work - Microsoft​ Edge"
"msedge.exe","76744","Console","1","7,804 K","Running","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"msedge.exe","76204","Console","1","169,704 K","Running","LAPTOP-TTRRML1O\HP","0:01:27","N/A"
"msedge.exe","75648","Console","1","42,304 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:20","N/A"
"msedge.exe","74536","Console","1","11,104 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"msedge.exe","6216","Console","1","32,660 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"msedge.exe","76328","Console","1","49,380 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:03","N/A"
"msedge.exe","76820","Console","1","82,276 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:21","N/A"
"msedge.exe","46276","Console","1","13,048 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
"msedge.exe","78248","Console","1","48,392 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:02","N/A"
"msedge.exe","68848","Console","1","9,208 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:01","N/A"
"msedge.exe","67452","Console","1","92,548 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:07","N/A"
"msedge.exe","78032","Console","1","20,920 K","Unknown","LAPTOP-TTRRML1O\HP","0:00:00","N/A"
